OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
324,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.00025809,0.542326241282747
325,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.18939163,397.78646807578
326,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.09309964,195.283492233661
327,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.03764362,79.2261660482078
328,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.12929578,271.324698734248
329,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.28731117,603.089398687377
330,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.18171716,382.589020874378
331,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.24146059,506.869911587492
332,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.04756724,99.8437226361177
333,Not Designated,Concrete,6, ,Bridge,Falls Bridge Sidepath,PPR,Sidepath,Y,0.1114729,234.643523299372
334,Not Designated,Concrete,6, ,Bridge,Falls Bridge Sidepath,PPR,Sidepath,Y,0.11123603,234.156268233322
335,Off Road/Trail,Asphalt,12, ,Asphalt Trail,Locust St Connector,PPR SRDC,Trail Connection,Y,0.03997205,83.8917190154604
336,Sidepath,Asphalt,10,,Asphalt Sidepath,Henry Avenue Sidepath,Streets,Sidepath,Y,0.98,2101.84706197948
337,Trail,Asphalt,12,,Asphalt Trail,Kensington & Tacony Trail 2,PPR,Trail,Y,0.57,1233.64785584416
338,Trail,Asphalt,12,,Asphalt Trail,"Cobbs Creek Connector, Seg C",PPR,Trail,Y,0.47,1545.71345829712
339,Trail,Asphalt,12,,Asphalt Trail,Bartram's to Passyunk Phase 1,PPR,Trail,Y,0.38,732.776028252769
