log2FoldChange,pvalue,gene_id,symbol
0.02622515,0.828391466,ENSG00000023909,GCLM
-0.209832449,0.113030682,ENSG00000024048,UBR2
0.103419449,0.459755761,ENSG00000024422,EHD2
-1.105418918,9.06E-12,ENSG00000024526,DEPDC1
0.313483237,0.362708874,ENSG00000024862,CCDC28A
-0.036711765,0.847510562,ENSG00000025156,HSF2
0.037811371,0.798366384,ENSG00000025293,PHF20
-0.412144817,0.219648761,ENSG00000025423,HSD17B6
0.240856923,0.511813022,ENSG00000025434,NR1H3
0.255843544,0.49899022,ENSG00000025708,TYMP
-0.007992193,0.948278254,ENSG00000025770,NCAPH2
0.176130752,0.117564098,ENSG00000025772,TOMM34
0.12308625,0.411563545,ENSG00000025796,SEC63
0.173513246,0.249973433,ENSG00000025800,KPNA6
-0.057673577,0.543188767,ENSG00000026025,VIM
-0.42056058,0.423984053,ENSG00000026036,RTEL1-TNFRSF6B
-0.349211136,0.00885399,ENSG00000026103,FAS
-0.050183699,0.852189783,ENSG00000026297,RNASET2
-0.000667074,0.995317288,ENSG00000026508,CD44
0.080934171,0.776154044,ENSG00000026950,BTN3A1
-0.072008609,0.763509029,ENSG00000027001,MIPEP
0.432624894,0.002250423,ENSG00000027697,IFNGR1
-0.032511133,0.828086084,ENSG00000027847,B4GALT7
-0.238663378,0.226896211,ENSG00000028116,VRK2
0.002188972,0.988116508,ENSG00000028203,VEZT
0.118337948,0.51833403,ENSG00000028277,POU2F2
0.110690875,0.448915512,ENSG00000028310,BRD9
-0.005371376,0.965460913,ENSG00000028528,SNX1
0.15270922,0.461728327,ENSG00000028839,TBPL1
-0.19548025,0.135019551,ENSG00000029153,ARNTL2
-0.395856027,0.032784215,ENSG00000029363,BCLAF1
-0.210288244,0.083812326,ENSG00000029364,SLC39A9
-0.337089736,0.016855662,ENSG00000029534,ANK1
0.015726713,0.94247543,ENSG00000029639,TFB1M
-0.185598563,0.157831775,ENSG00000029725,RABEP1
-0.120643874,0.449541222,ENSG00000029993,HMGB3
0.11357726,0.400366874,ENSG00000030066,NUP160
0.012392771,0.935283525,ENSG00000030110,BAK1
-0.86675119,0.000152742,ENSG00000030419,IKZF2
-0.243851824,0.047929364,ENSG00000030582,GRN
0.665543773,8.93E-08,ENSG00000031003,FAM13B
-0.153932652,0.186163171,ENSG00000031081,ARHGAP31
0.034331098,0.870545349,ENSG00000031691,CENPQ
0.777865317,9.93E-13,ENSG00000031698,SARS1
0.043689513,0.722412487,ENSG00000031823,RANBP3
-0.163245714,0.379525707,ENSG00000032219,ARID4A
0.107022146,0.568358417,ENSG00000032389,EIPR1
-0.344622054,0.009671316,ENSG00000032444,PNPLA6
-0.523410286,0.086751356,ENSG00000032742,IFT88
-0.23905826,0.155782106,ENSG00000033011,ALG1
1.281580434,2.36E-18,ENSG00000033030,ZCCHC8
-0.003651745,0.97432832,ENSG00000033050,ABCF2
-0.684428755,6.85E-09,ENSG00000033100,CHPF2
-0.289629145,0.033638075,ENSG00000033170,FUT8
-0.64402548,0.000227877,ENSG00000033178,UBA6
0.202798327,0.144497091,ENSG00000033327,GAB2
0.136376841,0.374226812,ENSG00000033627,ATP6V0A1
-0.286882981,0.076930629,ENSG00000033800,PIAS1
0.001684968,0.990821274,ENSG00000033867,SLC4A7
-0.039211946,0.761503217,ENSG00000034053,APBA2
0.102684729,0.33128486,ENSG00000034152,MAP2K3
0.344894482,0.000956285,ENSG00000034510,TMSB10
0.325579519,0.239661731,ENSG00000034533,ASTE1
0.351126589,0.010246172,ENSG00000034677,RNF19A
-0.378425315,0.061294717,ENSG00000034693,PEX3
0.178853662,0.224481358,ENSG00000034713,GABARAPL2
-0.541204108,0.012581047,ENSG00000035115,SH3YL1
-0.007523903,0.96226205,ENSG00000035141,FAM136A
-0.412989007,2.67E-05,ENSG00000035403,VCL
-0.269084345,0.271218488,ENSG00000035499,DEPDC1B
-0.092041551,0.6866713,ENSG00000035664,DAPK2
0.016728833,0.904314511,ENSG00000035681,NSMAF
0.239772214,0.071207013,ENSG00000035687,ADSS2
0.512970475,0.004342255,ENSG00000035862,TIMP2
0.344236348,0.013942719,ENSG00000035928,RFC1
-0.189568442,0.295065543,ENSG00000036054,TBC1D23
-0.294679969,0.015576782,ENSG00000036257,CUL3
-0.249578007,0.130181151,ENSG00000036549,ZZZ3
0.322668904,0.590067681,ENSG00000036672,USP2
-0.016488607,0.889669401,ENSG00000037042,TUBG2
0.130692843,0.409376568,ENSG00000037241,RPL26L1
0.24090799,0.07228405,ENSG00000037474,NSUN2
0.619926895,1.71E-05,ENSG00000037637,FBXO42
-0.205688917,0.173265808,ENSG00000037749,MFAP3
-0.387240452,0.015941448,ENSG00000037757,MRI1
0.319087949,0.089770774,ENSG00000037897,METTL1
0.454150703,0.348788892,ENSG00000037965,HOXC8
0.060201891,0.670011275,ENSG00000038002,AGA
0.095851531,0.496165063,ENSG00000038210,PI4K2B
-0.693965107,7.82E-06,ENSG00000038219,BOD1L1
0.44132129,0.002079112,ENSG00000038274,MAT2B
-0.54155947,0.003488665,ENSG00000038295,TLL1
-0.118400649,0.328031001,ENSG00000038358,EDC4
-0.043068129,0.707490764,ENSG00000038382,TRIO
-0.835387503,4.19E-05,ENSG00000038427,VCAN
-0.100988653,0.473793502,ENSG00000038532,CLEC16A
